3,6225752102531987,郑建榕,35220119980829003X,,3C2A554A
4,6226094511365189,陈胜,230104196804252336,13199506070,35043176
4,6231262138766666,施晶静,310107196809231242,13501690701,18565850
4,6214859312716119,魏立业,622322198411172033,18693157000,33476A53
3,6225752102531987,郑建榕,35220119980829003X,,3C2A554A
4,6226094511365189,陈胜,230104196804252336,13199506070,35043176
3,6225752102531987,郑建榕,35220119980829003X,,3C2A554A
4,6226094511365189,陈胜,230104196804252336,13199506070,35043176
3,6225752102531987,郑建榕,35220119980829003X,,3C2A554A
4,6231262138766666,施晶静,310107196809231242,13501690701,18565850
